epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.336,1.38687,4.33571,1.22659,0.0085,0.1572,0.04595,0.03763,1.15236,4.32501,1.00055,6.152e-05,6.152e-05,6.152e-05
2,376.152,1.38822,3.81192,1.11863,0.01199,0.20516,0.08571,0.07141,1.11176,4.13933,0.99419,0.000128142,0.000128142,0.000128142
3,449.369,1.27117,3.12945,1.02678,0.04252,0.24557,0.11205,0.08363,1.15145,3.91291,0.98457,0.000192022,0.000192022,0.000192022
4,521.97,1.33854,2.37979,1.01521,0.05224,0.29463,0.12413,0.08775,1.23818,3.76804,1.02967,0.000253162,0.000253162,0.000253162
5,600.727,1.31501,2.02261,1.00576,0.04676,0.35455,0.11728,0.0858,1.16357,3.08577,1.01855,0.000311562,0.000311562,0.000311562
6,673.402,1.21366,1.81754,1.01678,0.04096,0.30059,0.08945,0.05619,1.21074,3.18201,1.01779,0.000367221,0.000367221,0.000367221
7,734.72,1.14757,1.6502,0.99907,0.03933,0.38205,0.1131,0.06124,1.31647,2.88676,1.02092,0.000420139,0.000420139,0.000420139
8,801.375,1.2232,1.70717,0.99982,0.78115,0.0719,0.09868,0.06125,1.18785,3.1171,0.9821,0.000470316,0.000470316,0.000470316
9,864.162,1.09618,1.50513,0.9734,0.83011,0.16861,0.17094,0.10407,1.1657,1.70002,0.97617,0.000517752,0.000517752,0.000517752
10,930.624,1.08674,1.39817,0.96087,0.80386,0.1873,0.16573,0.10795,1.0988,1.30638,0.97075,0.000562448,0.000562448,0.000562448
11,1055.93,1.15041,1.3676,0.99363,0.8447,0.214,0.19168,0.12644,1.02259,1.2634,0.94999,0.000604403,0.000604403,0.000604403
12,1308.35,1.06815,1.30319,0.97384,0.89157,0.20384,0.24017,0.15841,1.06351,1.39199,0.97183,0.000601512,0.000601512,0.000601512
13,1562.52,1.11541,1.25441,0.97905,0.80014,0.20825,0.26028,0.1722,1.02436,1.29699,0.96423,0.000586286,0.000586286,0.000586286
14,1749.75,1.13306,1.28765,0.98811,0.71939,0.22814,0.31171,0.20186,1.05321,1.19481,0.96082,0.000571059,0.000571059,0.000571059
15,1898.38,1.07845,1.2213,0.97222,0.72804,0.31883,0.31694,0.21533,1.08202,1.18954,0.96156,0.000555833,0.000555833,0.000555833
16,1997.88,1.04128,1.12239,0.9687,0.74411,0.30616,0.34437,0.22994,1.11278,1.12706,0.95979,0.000540607,0.000540607,0.000540607
17,2085.4,1.07984,1.21015,0.9728,0.60758,0.35889,0.36891,0.22217,1.25845,1.10267,0.99521,0.000525381,0.000525381,0.000525381
18,2210.22,1.03713,1.06657,0.94852,0.39618,0.40382,0.35018,0.22125,1.10011,1.09352,0.96242,0.000510155,0.000510155,0.000510155
19,2301.74,1.02048,1.1118,0.96345,0.46269,0.33914,0.36451,0.23199,1.0648,1.07688,0.94851,0.000494928,0.000494928,0.000494928
20,2422.92,1.04723,1.18684,0.97996,0.53869,0.32596,0.40514,0.24707,1.32895,1.46774,1.01316,0.000479702,0.000479702,0.000479702
21,2561.74,1.04516,1.09188,0.9643,0.47052,0.39873,0.474,0.3063,1.10143,1.0312,0.9559,0.000464476,0.000464476,0.000464476
22,2682.83,0.95184,1.00829,0.95837,0.66111,0.46362,0.54014,0.37317,0.99291,0.86844,0.92861,0.00044925,0.00044925,0.00044925
23,2893.96,0.98538,1.02528,0.94593,0.65027,0.47391,0.55757,0.37725,1.05577,0.9071,0.94852,0.000434024,0.000434024,0.000434024
24,3392.33,1.05542,0.98949,0.96247,0.71768,0.52876,0.57667,0.40332,1.09905,1.05457,0.95076,0.000418797,0.000418797,0.000418797
25,3628.88,0.99535,0.93964,0.95075,0.61802,0.51144,0.57011,0.39659,1.12046,1.24023,0.95505,0.000403571,0.000403571,0.000403571
26,3753.31,0.96543,0.97385,0.94554,0.79576,0.5004,0.563,0.39567,1.06612,1.12584,0.94278,0.000388345,0.000388345,0.000388345
27,3866.42,0.98355,0.91673,0.94321,0.81196,0.50558,0.58421,0.43121,1.07685,0.99517,0.94066,0.000373119,0.000373119,0.000373119
28,3961.65,0.94976,0.87472,0.9321,0.77344,0.56852,0.6057,0.43728,1.05946,0.97439,0.93742,0.000357893,0.000357893,0.000357893
29,4050.54,0.95418,0.89637,0.9487,0.77976,0.60779,0.61505,0.42889,1.01308,0.8813,0.92893,0.000342666,0.000342666,0.000342666
30,4140.79,0.9715,0.89535,0.94472,0.8124,0.55476,0.6204,0.433,1.0704,0.8022,0.94345,0.00032744,0.00032744,0.00032744
31,4230.76,1.00066,0.94505,0.93869,0.81044,0.54966,0.62853,0.45447,1.07049,0.7802,0.94837,0.000312214,0.000312214,0.000312214
32,4330.58,0.99836,0.82071,0.90746,0.75808,0.56696,0.62303,0.44072,1.07106,0.79546,0.94772,0.000296988,0.000296988,0.000296988
33,4425.03,0.95816,0.93219,0.94577,0.73467,0.59114,0.64577,0.46495,1.08475,0.89844,0.95275,0.000281762,0.000281762,0.000281762
34,4514.46,0.92987,0.8894,0.94841,0.7231,0.5774,0.65231,0.4716,1.03476,1.16578,0.93957,0.000266535,0.000266535,0.000266535
35,4602.4,0.92679,0.80907,0.93441,0.75459,0.57647,0.65429,0.47747,1.01012,0.98103,0.93214,0.000251309,0.000251309,0.000251309
36,4692.3,0.91429,0.89612,0.92377,0.73041,0.59687,0.66492,0.49049,1.03496,0.88187,0.93063,0.000236083,0.000236083,0.000236083
37,4784.33,0.9078,0.82198,0.91889,0.78723,0.6066,0.67937,0.50782,1.03806,0.90935,0.9315,0.000220857,0.000220857,0.000220857
38,4877.04,0.89646,0.78291,0.92669,0.77889,0.6119,0.68967,0.52314,1.00589,0.88889,0.9279,0.000205631,0.000205631,0.000205631
39,4967.78,0.90697,0.81925,0.93733,0.83514,0.60852,0.69962,0.52731,0.96813,0.8117,0.92102,0.000190404,0.000190404,0.000190404
40,5058.23,0.91186,0.8056,0.93222,0.90004,0.62193,0.70038,0.52707,0.9632,0.77182,0.91637,0.000175178,0.000175178,0.000175178
41,5149.04,0.90381,0.8471,0.92975,0.8825,0.63135,0.70565,0.53083,0.99613,0.77159,0.92152,0.000159952,0.000159952,0.000159952
42,5241.67,0.86593,0.78931,0.92189,0.88849,0.60678,0.71693,0.5365,1.01914,0.76138,0.92553,0.000144726,0.000144726,0.000144726
43,5331.25,0.86747,0.73536,0.90624,0.76474,0.60866,0.72809,0.53688,1.00181,0.76795,0.92208,0.0001295,0.0001295,0.0001295
44,5418.5,0.8629,0.8492,0.92992,0.74316,0.64967,0.73513,0.53714,1.00799,0.76977,0.92618,0.000114273,0.000114273,0.000114273
45,5507.01,0.8738,0.75301,0.91097,0.77276,0.65909,0.73778,0.54727,1.02767,0.75696,0.93099,9.90472e-05,9.90472e-05,9.90472e-05
46,5596.97,0.87571,0.76567,0.9117,0.91272,0.66524,0.72751,0.54637,1.01734,0.72941,0.92814,8.3821e-05,8.3821e-05,8.3821e-05
47,5686.33,0.90689,0.79198,0.91321,0.9222,0.67838,0.73001,0.54826,1.00145,0.71362,0.92481,6.85948e-05,6.85948e-05,6.85948e-05
48,5773.92,0.81342,0.71259,0.90865,0.9153,0.68486,0.74507,0.55515,0.97798,0.70215,0.91922,5.33686e-05,5.33686e-05,5.33686e-05
49,5863.07,0.83742,0.70741,0.9009,0.92036,0.66396,0.74244,0.55257,0.97152,0.70081,0.91728,3.81424e-05,3.81424e-05,3.81424e-05
50,5952.13,0.85752,0.74521,0.92261,0.91326,0.68187,0.74555,0.55893,0.97474,0.70069,0.91753,2.29162e-05,2.29162e-05,2.29162e-05
